,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
80,117.03,0.006,0.1,01100000_00110010,0.6741230487823486,_M_00005,0
81,116.99,0.008,-0.1,01100000_00000010,0.7072844505310059,_M_00005,0
82,116.99,0.006,0.0,01100000_00010010,0.740487813949585,_M_00005,0
83,117.03,0.008,0.1,01100000_00110010,0.7736976146697998,_M_00005,0
84,116.99,0.006,0.0,01100000_00010010,0.8068957328796387,_M_00005,0
85,116.99,0.008,-0.2,01100000_00100010,0.8401224613189697,_M_00005,0
86,117.01,0.008,-0.4,01100000_00100010,0.8733079433441162,_M_00005,0
87,117.01,0.006,-0.1,01100000_00100010,0.9065163135528564,_M_00005,0
88,116.99,0.008,0.0,01100000_00100010,0.9396886825561523,_M_00005,0
89,117.03,0.008,0.0,01100000_00100010,0.9728977680206299,_M_00005,0
90,117.0,0.004,-0.2,01100000_00000010,0.004641294479370117,_M_00001,0
91,116.97,0.002,0.0,01100000_00110010,0.037770748138427734,_M_00001,0
92,116.95,0.004,0.3,01100000_00010010,0.07112526893615723,_M_00001,0
93,116.98,0.002,0.0,01100000_00110010,0.10446739196777344,_M_00001,0
94,117.0,0.004,0.1,01100000_00010010,0.1426553726196289,_M_00001,0
95,116.97,0.004,-0.2,01100000_00000010,0.17587494850158691,_M_00001,0
96,117.0,0.002,0.3,01100000_00110010,0.20907902717590332,_M_00001,0
97,116.98,0.002,0.0,01100000_00010010,0.24241995811462402,_M_00001,0
98,116.97,0.002,0.1,01100000_00010010,0.2756226062774658,_M_00001,0
99,117.0,0.002,0.0,01100000_00010010,0.30883121490478516,_M_00001,0
100,116.98,0.004,-0.2,01100000_00000010,0.34205102920532227,_M_00001,0
101,116.97,0.004,0.0,01100000_00010010,0.37526893615722656,_M_00001,0
102,116.97,0.004,-0.2,01100000_00100010,0.4084587097167969,_M_00001,0
103,116.97,0.004,0.0,01100000_00110010,0.44169139862060547,_M_00001,0
104,116.97,0.002,0.1,01100000_00110010,0.47487735748291016,_M_00001,0
105,117.0,0.004,-0.3,01100000_00000010,0.5080862045288086,_M_00001,0
106,116.98,0.004,0.1,01100000_00010010,0.5413227081298828,_M_00001,0
107,117.0,0.004,0.0,01100000_00110010,0.5745217800140381,_M_00001,0
108,117.0,0.006,0.0,01100000_00100010,0.6076955795288086,_M_00001,0
109,117.0,0.004,0.1,01100000_00010010,0.6409249305725098,_M_00001,0
110,116.98,0.004,0.2,01100000_00110010,0.6741230487823486,_M_00001,0
111,117.02,0.004,-0.2,01100000_00000010,0.7072844505310059,_M_00001,0
112,116.98,0.004,-0.1,01100000_00000010,0.740487813949585,_M_00001,0
113,116.98,0.002,-0.1,01100000_00100010,0.7736976146697998,_M_00001,0
114,117.02,0.004,0.3,01100000_00010010,0.8068957328796387,_M_00001,0
115,116.91,0.004,0.3,01100000_00010010,0.8401224613189697,_M_00001,0
116,116.98,0.006,0.3,01100000_00110010,0.8733079433441162,_M_00001,0
117,117.0,0.006,-0.1,01100000_00000010,0.9065163135528564,_M_00001,0
118,116.98,0.004,0.2,01100000_00010010,0.9396886825561523,_M_00001,0
119,116.89,0.004,0.0,01100000_00010010,0.9728977680206299,_M_00001,0
0,116.77,0.004,0.0,01100000_00010010,7.0203537940979,_M_00004,150
1,116.78,0.006,-0.2,01100000_00000010,7.037834167480469,_M_00004,150
2,116.68,0.006,0.2,01100000_00110010,7.071243762969971,_M_00004,150
3,116.71,0.006,-0.2,01100000_00000010,7.104464054107666,_M_00004,150
