,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
11,116.01,0.002,0.0,01100000_00000010,7.18752384185791,_M_00002,150
12,116.1,0.004,0.0,01100000_00000010,7.204151630401611,_M_00002,150
13,116.03,0.006,0.2,01100000_00010010,7.22076416015625,_M_00002,150
14,115.96,0.002,-0.1,01100000_00100010,7.237542629241943,_M_00002,150
15,116.07,0.004,-0.1,01100000_00000010,7.25420355796814,_M_00002,150
16,116.03,0.006,0.0,01100000_00110010,7.270834922790527,_M_00002,150
17,116.03,0.006,-0.3,01100000_00100010,7.287445545196533,_M_00002,150
18,116.08,0.006,0.2,01100000_00010010,7.304048776626587,_M_00002,150
19,116.05,0.002,0.0,01100000_00000010,7.320860862731934,_M_00002,150
20,116.05,0.004,-0.1,01100000_00000010,7.337528705596924,_M_00002,150
21,115.99,0.004,0.2,01100000_00110010,7.354118824005127,_M_00002,150
22,116.05,0.004,0.0,01100000_00110010,7.370787143707275,_M_00002,150
23,116.03,0.004,0.0,01100000_00010010,7.387523651123047,_M_00002,150
24,116.07,0.004,0.1,01100000_00010010,7.404189109802246,_M_00002,150
25,116.03,0.004,0.0,01100000_00010010,7.420807600021362,_M_00002,150
26,115.97,0.002,0.0,01100000_00100010,7.437411785125732,_M_00002,150
27,116.08,0.004,0.1,01100000_00010010,7.454190015792847,_M_00002,150
28,116.01,0.004,0.0,01100000_00010010,7.4708616733551025,_M_00002,150
29,116.05,0.004,0.1,01100000_00110010,7.4874913692474365,_M_00002,150
30,116.1,0.004,0.0,01100000_00010010,7.504096269607544,_M_00002,150
31,116.03,0.004,0.1,01100000_00010010,7.52086615562439,_M_00002,150
32,116.05,0.004,0.3,01100000_00010010,7.5375471115112305,_M_00002,150
33,116.05,0.004,0.2,01100000_00010010,7.554177284240723,_M_00002,150
34,116.03,0.006,0.1,01100000_00010010,7.570815563201904,_M_00002,150
35,115.97,0.006,-0.2,01100000_00000010,7.587526321411133,_M_00002,150
36,116.1,0.002,-0.1,01100000_00100010,7.604207515716553,_M_00002,150
37,116.05,0.002,0.1,01100000_00110010,7.620856761932373,_M_00002,150
38,115.96,0.004,0.2,01100000_00110010,7.637467384338379,_M_00002,150
39,116.08,0.004,0.1,01100000_00110010,7.65406060218811,_M_00002,150
40,116.03,0.004,0.3,01100000_00010010,7.670871734619141,_M_00002,150
41,115.96,0.004,0.2,01100000_00110010,7.687521457672119,_M_00002,150
42,116.1,0.006,0.2,01100000_00110010,7.704128265380859,_M_00002,150
43,116.01,0.002,0.0,01100000_00010010,7.720735788345337,_M_00002,150
44,115.97,0.004,-0.2,01100000_00100010,7.737537384033203,_M_00002,150
45,116.08,0.004,0.2,01100000_00010010,7.754199743270874,_M_00002,150
46,116.03,0.004,0.1,01100000_00110010,7.770846128463745,_M_00002,150
47,115.96,0.006,0.0,01100000_00010010,7.787400245666504,_M_00002,150
48,116.1,0.004,0.1,01100000_00010010,7.804206848144531,_M_00002,150
49,116.01,0.004,0.1,01100000_00110010,7.82088303565979,_M_00002,150
50,115.94,0.004,0.0,01100000_00100010,7.837492227554321,_M_00002,150
51,116.1,0.002,0.0,01100000_00100010,7.8540894985198975,_M_00002,150
52,116.01,0.004,0.2,01100000_00110010,7.870910406112671,_M_00002,150
53,115.94,0.004,0.0,01100000_00000010,7.8875322341918945,_M_00002,150
54,116.08,0.004,0.3,01100000_00010010,7.904166221618652,_M_00002,150
55,116.01,0.004,-0.2,01100000_00000010,7.920774936676025,_M_00002,150
56,115.94,0.004,0.3,01100000_00010010,7.937538385391235,_M_00002,150
57,116.08,0.002,0.0,01100000_00110010,7.954201698303223,_M_00002,150
58,115.99,0.006,0.1,01100000_00010010,7.9708757400512695,_M_00002,150
59,115.96,0.004,0.0,01100000_00000010,7.987439393997192,_M_00002,150
60,115.97,0.004,0.1,01100000_00110010,6.011049509048462,_M_00002,149
61,116.03,0.004,0.0,01100000_00100010,6.022477865219116,_M_00002,149
62,116.03,0.004,0.0,01100000_00100010,6.039071798324585,_M_00002,149
63,116.05,0.004,0.0,01100000_00000010,6.055657625198364,_M_00002,149
64,116.01,0.004,-0.2,01100000_00000010,6.072279214859009,_M_00002,149
65,116.07,0.002,0.0,01100000_00000010,6.089339971542358,_M_00002,149
66,115.96,0.002,0.0,01100000_00110010,6.105641841888428,_M_00002,149
67,116.05,0.002,0.0,01100000_00110010,6.1223578453063965,_M_00002,149
68,115.97,0.004,0.0,01100000_00010010,6.1386754512786865,_M_00002,149
69,116.01,0.004,0.0,01100000_00000010,6.15726637840271,_M_00002,149
70,116.07,0.004,0.0,01100000_00110010,6.1719019412994385,_M_00002,149
71,116.03,0.004,-0.3,01100000_00000010,6.188466310501099,_M_00002,149
72,115.99,0.004,0.1,01100000_00010010,6.205105543136597,_M_00002,149
73,115.97,0.004,0.1,01100000_00010010,6.221661806106567,_M_00002,149
74,116.08,0.004,0.0,01100000_00100010,6.238255739212036,_M_00002,149
75,116.01,0.004,0.0,01100000_00010010,6.254842519760132,_M_00002,149
76,115.96,0.004,0.0,01100000_00010010,6.271459341049194,_M_00002,149
77,116.07,0.004,-0.2,01100000_00100010,6.2881293296813965,_M_00002,149
78,116.03,0.004,0.3,01100000_00010010,6.304676532745361,_M_00002,149
79,115.96,0.004,0.0,01100000_00010010,6.321264266967773,_M_00002,149
80,116.07,0.002,0.1,01100000_00110010,6.33787989616394,_M_00002,149
81,116.03,0.004,0.1,01100000_00010010,6.354461431503296,_M_00002,149
82,115.97,0.004,0.0,01100000_00010010,6.371060371398926,_M_00002,149
83,116.07,0.004,-0.2,01100000_00000010,6.3876776695251465,_M_00002,149
84,116.01,0.004,0.3,01100000_00010010,6.404283761978149,_M_00002,149
85,115.97,0.004,0.1,01100000_00010010,6.4208738803863525,_M_00002,149
86,116.07,0.004,0.2,01100000_00010010,6.43755841255188,_M_00002,149
